,Simulation_0,Simulation_1,Simulation_2,Simulation_3,Simulation_4,Simulation_5,Simulation_6,Simulation_7,Simulation_8,Simulation_9,Simulation_10,Simulation_11,Simulation_12,Simulation_13,Simulation_14,Simulation_15,Simulation_16,Simulation_17,Simulation_18,Simulation_19,Simulation_20,Simulation_21,Simulation_22,Simulation_23,Simulation_24,Simulation_25,Simulation_26,Simulation_27,Simulation_28,Simulation_29,Simulation_30,Simulation_31,Simulation_32,Simulation_33,Simulation_34,Simulation_35,Simulation_36,Simulation_37,Simulation_38,Simulation_39,Simulation_40,Simulation_41,Simulation_42,Simulation_43,Simulation_44,Simulation_45,Simulation_46,Simulation_47,Simulation_48,Simulation_49,Simulation_50,Simulation_51,Simulation_52,Simulation_53,Simulation_54,Simulation_55,Simulation_56,Simulation_57,Simulation_58,Simulation_59,Simulation_60,Simulation_61,Simulation_62,Simulation_63,Simulation_64,Simulation_65,Simulation_66,Simulation_67,Simulation_68,Simulation_69,Simulation_70,Simulation_71,Simulation_72,Simulation_73,Simulation_74,Simulation_75,Simulation_76,Simulation_77,Simulation_78,Simulation_79,Simulation_80,Simulation_81,Simulation_82,Simulation_83,Simulation_84,Simulation_85,Simulation_86,Simulation_87,Simulation_88,Simulation_89,Simulation_90,Simulation_91,Simulation_92,Simulation_93,Simulation_94,Simulation_95,Simulation_96,Simulation_97,Simulation_98,Simulation_99
0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0
1,9994.48,9991.930000000002,9984.369999999999,9985.73,9947.49,9980.539999999999,9986.399999999998,9991.369999999999,9992.960000000001,10018.83,9994.710000000001,10014.7,9990.8,9997.07,9989.160000000002,9989.570000000002,9989.279999999999,9984.730000000001,9978.53,9994.66,9996.279999999999,9991.43,9984.96,9991.33,10006.44,9987.19,9969.859999999999,9992.9,9998.61,9996.28,9996.47,9985.32,9982.78,9994.86,9991.380000000001,9994.17,9968.050000000001,9999.980000000001,9996.54,9990.449999999999,9990.77,9981.650000000001,9989.28,9987.770000000002,10000.76,9990.75,9999.0,9982.260000000002,9987.95,9987.15,9992.990000000002,9993.529999999999,9991.890000000001,9993.369999999999,9984.25,9990.31,9984.1,9993.72,9979.4,9990.82,10003.41,9982.61,9989.12,9998.99,9989.279999999999,9978.99,9992.78,9993.04,9987.009999999998,9996.72,9996.07,9991.740000000002,9992.61,9991.32,9982.890000000001,9987.59,10000.689999999999,9984.199999999999,9985.18,9985.710000000001,9988.479999999998,9992.78,9994.34,9998.329999999998,9993.34,9986.6,9992.49,9977.560000000001,9976.46,9990.46,9994.340000000002,9985.5,9995.27,9985.7,9990.47,9981.81,9998.2,9981.85,9976.359999999999,9981.66
2,9989.630000000001,9984.220000000001,9964.929999999998,9950.48,9936.669999999998,9976.650000000001,9980.03,9978.47,9995.53,9996.05,9996.52,9986.89,9979.12,9992.050000000001,9963.070000000002,9982.630000000003,9979.509999999998,9969.300000000001,9980.710000000003,9997.25,9980.619999999999,9986.01,9973.739999999998,9994.61,9993.53,9979.560000000001,9963.22,9975.619999999999,9994.52,9976.69,9978.9,9964.36,9943.69,9986.630000000001,9983.28,9990.859999999999,9962.620000000003,9976.970000000001,9994.01,9983.509999999998,9987.16,9957.650000000001,9979.75,9978.95,9984.14,9982.539999999999,10004.29,9977.920000000002,9980.15,9979.579999999998,9990.02,9974.63,9986.86,9980.960000000001,9975.99,9987.829999999998,9966.54,9978.140000000001,9975.529999999999,9977.8,9978.730000000001,9973.830000000002,9977.67,9986.07,9983.95,9968.05,9968.390000000001,9989.480000000001,9976.8,9992.73,9987.59,9991.86,9991.89,9973.419999999998,9976.970000000001,9970.259999999998,9993.89,9975.48,9979.710000000001,9977.54,9975.82,9981.36,9986.190000000002,10009.619999999999,9988.7,9982.570000000002,9990.33,9972.74,9967.579999999998,9976.14,9984.510000000002,9979.86,9981.78,9974.69,9969.9,9963.88,10000.16,9980.570000000002,9966.659999999998,9977.22
3,9995.770000000002,9977.45,9953.66,9950.599999999999,9934.519999999999,9979.670000000002,9974.21,9977.619999999999,9987.09,9987.61,9987.780000000002,9986.87,9984.82,9987.12,9957.900000000001,9976.410000000002,9976.269999999999,9968.710000000001,9983.370000000003,9967.300000000001,9982.759999999998,9961.65,9980.059999999998,9987.130000000001,9997.630000000001,9976.3,9963.529999999999,9969.329999999998,9994.16,9970.380000000001,10001.8,9971.43,9941.900000000001,9982.28,9984.62,9990.099999999999,9964.200000000003,9977.69,9997.63,9989.399999999998,9987.470000000001,9944.94,9957.33,9968.160000000002,9989.09,9976.149999999998,9988.440000000002,9981.460000000001,9979.68,9970.789999999999,9995.800000000001,9980.639999999998,9985.61,9979.140000000001,9974.319999999998,10000.019999999997,9964.15,9979.54,9974.64,9955.85,9995.660000000002,9976.070000000002,9970.970000000001,9985.829999999998,9984.7,9959.72,9968.92,9992.140000000001,9975.63,9976.92,9981.760000000002,9969.18,10002.69,9964.75,9984.04,9977.46,9997.25,9972.109999999999,9984.48,9976.07,9975.16,9978.64,9989.220000000001,10003.529999999999,9996.36,9964.650000000001,9990.579999999998,9973.960000000001,9969.449999999999,9968.849999999999,9985.53,9980.16,9980.09,9983.800000000001,9969.0,9963.699999999999,9969.52,9982.800000000001,9963.959999999997,9976.41
4,10008.140000000003,9978.910000000002,9955.369999999999,9943.279999999999,9973.009999999998,9986.920000000002,9970.499999999998,9965.31,10000.78,9969.69,9986.770000000002,9984.36,10007.78,9996.890000000001,9960.230000000001,9972.95,9983.32,9959.010000000002,9996.070000000003,9968.57,9952.359999999999,9957.5,9991.98,10001.79,10005.000000000002,9976.009999999998,9956.529999999999,9980.689999999999,10015.79,9971.58,10017.09,9947.56,9957.580000000002,9967.37,9984.920000000002,9997.539999999999,9972.580000000002,9978.340000000002,10007.89,10015.289999999999,10003.98,9959.12,9962.26,9977.66,10014.550000000001,9987.449999999999,9985.130000000001,10002.260000000002,9997.39,9984.21,9985.420000000002,10001.869999999999,9983.630000000001,9974.820000000002,9972.649999999998,10005.379999999997,9978.740000000002,9980.170000000002,10004.02,9963.470000000001,9990.910000000002,9970.160000000002,9966.060000000001,10003.179999999998,9974.090000000002,9957.919999999998,9964.55,10008.210000000001,9964.949999999999,9976.0,9978.110000000002,9964.9,10035.91,9952.189999999999,9991.79,9977.029999999999,10014.32,9967.919999999998,10039.43,9999.31,9968.35,9996.59,9984.690000000002,10009.009999999998,9995.74,9967.010000000002,9993.369999999999,9990.53,9975.159999999998,9979.149999999998,10003.210000000001,9999.7,9998.43,9998.480000000001,9967.36,9959.84,9967.59,9982.12,9951.879999999997,9988.460000000001
5,9988.650000000001,9968.84,9938.679999999998,9934.739999999998,9953.769999999997,9974.880000000001,9957.91,9959.01,9982.010000000002,9955.810000000001,9971.980000000001,9971.689999999999,10000.03,9986.89,9938.800000000001,9962.18,9976.75,9939.970000000001,9989.010000000004,9977.800000000001,9941.63,9960.21,9973.34,9989.71,9995.090000000002,9966.82,9948.25,9966.289999999997,10000.07,9971.26,10014.16,9936.56,9930.09,9970.150000000001,9976.740000000002,9988.529999999999,9945.080000000002,9963.230000000003,10011.289999999999,9997.13,9977.73,9953.4,9965.29,9970.78,10001.220000000001,9994.109999999999,9982.690000000002,9995.080000000002,9975.439999999999,9969.879999999997,9977.86,9996.419999999998,10010.34,9960.650000000001,9965.119999999999,9988.129999999997,9941.620000000003,9966.78,9981.09,9983.310000000001,9977.200000000003,9956.610000000002,9948.080000000002,9996.3,9964.180000000002,9978.31,9961.029999999999,9993.460000000001,9930.98,9983.32,9966.540000000003,9965.55,10037.96,9944.539999999999,9970.760000000002,9981.149999999998,9998.2,9967.279999999999,10052.86,9984.130000000001,9961.75,10010.55,9983.510000000002,10008.93,9988.86,9971.79,9983.23,9982.449999999999,9961.05,9980.219999999998,9988.170000000002,9999.95,9987.349999999999,9982.920000000002,9960.550000000001,9954.6,9968.03,9972.880000000001,9943.679999999997,9977.12
6,10086.360000000002,9963.730000000001,9941.599999999999,9957.749999999998,9959.439999999997,9994.010000000002,9956.619999999999,9971.67,9988.95,9961.93,9975.390000000001,9976.15,10037.72,9978.51,9942.26,9972.48,9975.17,9938.940000000002,10012.740000000003,9969.140000000001,9940.359999999999,9962.449999999999,10031.57,9993.65,9991.61,9957.139999999998,9948.41,9957.099999999999,10033.18,9964.96,10041.65,9935.47,9939.25,9984.7,10090.930000000002,9984.249999999998,9945.150000000001,9972.330000000002,10013.119999999999,10017.27,9980.03,9932.54,9960.550000000001,9984.240000000002,10027.94,10015.429999999998,9973.170000000002,10021.850000000002,9973.25,9967.319999999998,9970.570000000002,10035.859999999999,10036.960000000001,9960.510000000002,9960.909999999998,9962.609999999997,9933.430000000002,9959.390000000001,10025.079999999998,9993.150000000001,9974.780000000002,9959.850000000002,9941.760000000002,10004.23,9960.430000000002,9983.789999999999,9961.84,10008.26,9957.789999999999,9970.92,9967.520000000004,9949.149999999998,10054.99,9941.439999999999,9996.800000000003,9992.699999999997,10006.62,9975.849999999999,10074.16,10103.660000000002,9962.82,10019.69,9974.570000000003,10008.880000000001,9977.67,9973.45,10000.38,9995.93,9961.23,9979.469999999998,9983.810000000001,10011.86,9983.289999999999,10007.760000000002,9966.670000000002,9971.26,9961.330000000002,9987.030000000002,9952.469999999998,9979.920000000002
7,10074.700000000003,9981.820000000002,9940.55,9948.179999999998,9964.449999999997,9989.750000000004,9953.529999999999,9987.080000000002,9990.490000000002,9992.48,9979.120000000003,9995.259999999998,10033.66,9971.15,9945.37,9971.73,9963.54,9943.570000000002,10001.110000000004,9983.380000000001,9955.489999999998,9970.88,10053.23,9993.27,9995.690000000002,9924.909999999998,9959.999999999998,9962.039999999999,10039.14,9978.6,10029.33,9952.2,9932.21,10005.95,10189.550000000001,9985.089999999998,9963.280000000002,9976.140000000003,10031.68,10007.15,9992.170000000002,9923.96,9954.150000000001,9982.0,10027.86,10034.84,9976.820000000002,10015.550000000003,9971.529999999999,9957.06,9967.720000000001,10043.269999999997,10064.020000000002,9953.630000000003,9955.569999999998,9966.899999999998,9926.530000000002,9954.69,10033.56,10007.82,9978.410000000003,9965.080000000004,9930.02,10004.14,9956.29,9971.739999999998,9975.630000000001,10002.25,9968.71,9970.54,9988.300000000003,9958.469999999998,10074.98,9969.529999999999,10007.620000000003,10015.879999999997,10012.130000000001,9982.179999999998,10106.099999999999,10198.85,9964.810000000001,10035.99,9966.930000000002,10011.39,9984.82,9968.520000000002,9999.099999999999,10006.15,9954.64,9981.089999999997,9979.170000000002,9998.199999999999,9976.279999999999,10043.320000000002,9954.170000000002,9979.23,9980.630000000001,9979.420000000002,9966.769999999997,9987.330000000002
8,10078.600000000002,9988.260000000002,9944.039999999999,9950.359999999999,9969.009999999998,9968.560000000001,9953.689999999999,10013.19,9962.330000000002,10028.41,9999.600000000002,10043.95,10016.970000000001,9954.919999999998,9912.320000000002,9948.539999999999,9988.949999999999,9918.160000000002,9981.170000000004,9937.340000000002,10003.319999999998,9914.189999999999,10017.829999999998,9975.539999999999,10000.890000000001,9908.089999999997,9973.669999999998,9930.15,10058.68,9933.75,10021.970000000001,9989.79,9884.89,10013.81,10132.210000000001,9967.359999999999,9988.740000000002,9997.560000000003,10026.75,10028.060000000001,10022.310000000001,9927.96,9914.6,9999.19,10029.59,10026.079999999998,9907.350000000002,10011.950000000003,9927.47,9945.429999999998,9986.560000000001,10069.419999999998,10016.300000000001,9949.890000000003,9958.389999999998,9959.159999999996,9914.730000000003,9946.669999999998,10051.429999999998,9979.96,9967.180000000002,9913.710000000003,9922.470000000001,9989.689999999999,9943.990000000002,10000.409999999998,9978.869999999999,9986.0,10046.63,9940.990000000002,9989.010000000002,9920.989999999998,10090.21,9969.189999999999,10058.970000000001,10042.969999999998,10027.45,10013.589999999998,10077.169999999998,10161.61,9970.960000000001,9965.740000000002,9954.920000000002,9938.79,9994.77,9946.710000000003,9973.119999999999,10023.21,9992.829999999998,9972.309999999998,9986.460000000003,10009.399999999998,9960.059999999998,10065.990000000002,9983.91,9996.060000000001,9917.78,9999.140000000003,10017.629999999997,9961.220000000001
9,10058.310000000003,9973.990000000002,9915.84,9924.84,10028.769999999997,9948.480000000003,10030.299999999997,10015.369999999999,9947.45,9977.79,9978.290000000003,10028.779999999999,9987.760000000002,9938.39,9906.190000000002,9923.679999999998,9979.05,9863.12,9951.750000000004,9903.390000000001,9984.46,9891.57,9978.55,10036.189999999999,9953.150000000001,9932.769999999997,9959.439999999999,9937.849999999999,10001.16,9920.380000000001,9989.380000000001,9982.689999999999,9855.649999999998,9997.91,10062.350000000002,9965.579999999998,9984.740000000002,9949.280000000002,9978.95,9993.82,9958.210000000001,9911.19,9873.830000000002,9948.84,10003.0,10002.23,9912.500000000002,9997.18,9868.82,9916.199999999999,9959.21,10020.049999999997,9945.35,9962.440000000002,9946.389999999998,9937.769999999997,9867.180000000004,9930.569999999998,10015.139999999998,9948.68,9957.030000000002,9902.920000000002,9919.390000000001,9969.739999999998,9917.000000000002,9978.869999999997,9964.72,9968.53,10051.39,9930.42,10019.120000000003,9930.879999999997,10044.07,9967.189999999999,10030.460000000003,10001.07,10008.130000000001,9981.5,10059.130000000001,10112.25,9965.150000000001,9948.100000000002,9940.130000000001,9920.18,9980.490000000002,9892.910000000003,9950.089999999998,10123.929999999998,9961.839999999998,9971.509999999998,9984.050000000003,10004.46,9973.89,10116.070000000002,9967.240000000002,9996.66,9905.28,10006.560000000003,10012.669999999998,9921.850000000002
