Date,AdjClose,Close,High,Low,Open,Volume,RSI,%K,%R,EMA_fast,EMA_slow,MACD,Signal_Line,ROC,Direction,OBV,Ticker,Sector
2010-02-17,13.435449600219728,13.46871852874756,13.598599433898926,13.45370388031006,13.56356430053711,81106812,47.1823816874132,64.18079183781234,-35.81920816218766,13.486164976556072,13.847238127635931,-0.36107315107985904,-0.440125822355623,-14.12684332258867,-1,-1347822828,GOOGL,Communication Services
2010-02-18,13.560516357421877,13.594094276428224,13.63888931274414,13.416916847229004,13.45195198059082,93382524,56.74167033485531,92.06203546911946,-7.937964530880532,13.502769484228711,13.828486731250175,-0.32571724702146376,-0.41724410728879113,-12.944114647844666,1,-1254440304,GOOGL,Communication Services
2010-02-19,13.499107360839844,13.532532691955566,13.61436367034912,13.506006240844728,13.526777267456056,102021876,58.408477065959026,81.15293226932737,-18.84706773067264,13.507348439263613,13.806564209820944,-0.29921577055733195,-0.3936384399424993,-11.097226687931657,-1,-1356462180,GOOGL,Communication Services
2010-02-22,13.550031661987305,13.58358383178711,13.701201438903809,13.538538932800291,13.697446823120115,85698216,57.7251464452779,81.23001529529043,-18.76998470470958,13.519076961190304,13.7900471447814,-0.27097018359109626,-0.36910478867221874,-8.634904734988098,1,-1270763964,GOOGL,Communication Services
2010-02-23,13.35706615447998,13.39013957977295,13.60435390472412,13.320570945739746,13.58858871459961,114789096,52.856923926717265,50.35924908494594,-49.64075091505406,13.499240440972251,13.760424362188182,-0.26118392121593104,-0.3475206151809612,-11.12089964728986,-1,-1385553060,GOOGL,Communication Services
2010-02-24,13.26719856262207,13.300049781799316,13.47447395324707,13.276025772094728,13.362862586975098,92970936,42.58288964694133,35.982284857662485,-64.01771514233752,13.468595724176415,13.726322541418636,-0.25772681724222046,-0.32956185559321305,-11.585238594930528,-1,-1478523996,GOOGL,Communication Services
2010-02-25,13.14138412475586,13.173924446105955,13.225475311279297,13.013012886047363,13.191190719604492,132235632,49.67611336032382,23.381900118899214,-76.61809988110079,13.423261681396344,13.685404163988068,-0.2621424825917238,-0.3160779809929152,-10.847106864635347,-1,-1610759628,GOOGL,Communication Services
2010-02-26,13.150619506835938,13.183182716369627,13.30705738067627,13.100099563598633,13.19869899749756,81890028,45.5000714207691,24.727210241429418,-75.27278975857058,13.38632645600762,13.648202575275592,-0.2618761192679724,-0.30523760864792665,-10.269299160864573,1,-1528869600,GOOGL,Communication Services
2010-03-01,13.297653198242188,13.330580711364746,13.345596313476562,13.206707000732422,13.243243217468262,89426484,49.27241224119212,46.14546754654125,-53.85453245345876,13.377750187601023,13.624675029800715,-0.24692484219969124,-0.29357505535827955,-9.690599108078409,1,-1439443116,GOOGL,Communication Services
2010-03-02,13.506595611572266,13.540040016174316,13.655155181884766,13.388639450073242,13.400400161743164,174097728,53.9152665424791,76.58179258277926,-23.418207417220746,13.402717853535375,13.618405769532092,-0.21568791599671755,-0.2779976274859672,-6.713795893866135,1,-1265345388,GOOGL,Communication Services
2010-03-03,13.612939834594728,13.646647453308104,13.716716766357422,13.494745254516602,13.572572708129885,123452424,58.87058050808442,90.04278432876553,-9.957215671234467,13.440245484269642,13.620497746108093,-0.18025226183845078,-0.2584485543564639,-7.198522652286641,1,-1141892964,GOOGL,Communication Services
2010-03-04,13.844347953796388,13.878628730773926,13.917166709899902,13.668668746948242,13.676176071166992,127224648,63.25996779724482,95.73767448532499,-4.262325514675014,13.507689060654917,13.639618559787044,-0.13192949913212715,-0.23314474331159657,-4.4485772796781164,1,-1014668316,GOOGL,Communication Services
2010-03-05,14.084492683410645,14.11936855316162,14.20595645904541,14.01151180267334,14.04779815673828,156331512,70.74601861143071,92.74165955174372,-7.2583404482562734,13.60179359796364,13.675155596333308,-0.07336199836966806,-0.20118819432321086,-3.219672097284275,1,-858336804,GOOGL,Communication Services
2010-03-08,14.041306495666504,14.076075553894045,14.143644332885742,14.039289474487305,14.133633613586426,95360544,65.46435698552776,89.11256927056867,-10.887430729431328,13.674760052722164,13.704853370967438,-0.030093318245274503,-0.1669692191076236,2.267226001663606,-1,-953697348,GOOGL,Communication Services
2010-03-09,13.984142303466797,14.018769264221191,14.13063144683838,13.92642593383789,14.010259628295898,126936936,66.23822329731902,84.30879724228791,-15.691202757712098,13.727684546798937,13.728106400097346,-0.0004218532984090473,-0.1336597459457807,3.738892159504348,-1,-1080634284,GOOGL,Communication Services
2010-03-10,14.390044212341309,14.425676345825195,14.476977348327637,14.069318771362305,14.108107566833496,225969804,71.05033819032802,96.49574809879368,-3.5042519012063233,13.835067900495286,13.779778247929038,0.05528965256624829,-0.0958698662433749,6.2737433684375,1,-854664480,GOOGL,Communication Services
2010-03-11,14.507122039794922,14.54304313659668,14.669919967651367,14.36936855316162,14.37087059020996,169162668,74.87682462258539,92.34255001602976,-7.657449983970236,13.943987167587808,13.836316387830346,0.10767077975746275,-0.05516173704320737,7.201626201551038,1,-685501812,GOOGL,Communication Services
2010-03-12,14.467180252075195,14.503003120422363,14.721721649169922,14.49349308013916,14.718217849731444,110025864,72.75771537400013,87.19977719621077,-12.800222803789227,14.029989621870048,13.88570059024457,0.1442890316254779,-0.015271583309470316,8.46918341308543,-1,-795527676,GOOGL,Communication Services
2010-03-15,14.058781623840332,14.09359359741211,14.250500679016112,13.91391372680664,14.181180953979492,185969844,65.73031527379757,63.2396072804152,-36.7603927195848,14.039774848876519,13.90110007225698,0.13867477661953842,0.01551768867633143,6.272408998584421,-1,-981497520,GOOGL,Communication Services
2010-03-16,14.109207153320312,14.14414405822754,14.224724769592283,14.03303337097168,14.059809684753418,137122740,69.21503149834336,66.19800849578988,-33.801991504210115,14.055831650315138,13.919103330477022,0.13672831983811662,0.03975981490868847,6.037298347168548,1,-844374780,GOOGL,Communication Services
2010-03-17,14.118194580078123,14.153153419494627,14.300551414489746,14.120369911193848,14.221721649169922,132731136,73.54678094895644,64.93830253458893,-35.061697465411065,14.070804230188905,13.936440374107955,0.13436385608095058,0.058680623143140896,6.484412742577652,1,-711643644,GOOGL,Communication Services
2010-03-18,14.13916301727295,14.174174308776855,14.225225448608398,14.088088035583496,14.132131576538086,71016912,73.69558336746232,63.858610808959796,-36.141389191040204,14.086707319202436,13.95405029519454,0.13265702400789614,0.07347590331609194,4.7298576616096595,1,-640626732,GOOGL,Communication Services
2010-03-19,13.979399681091309,14.01401424407959,14.214214324951172,13.945945739746094,14.01401424407959,191576232,66.24243896778313,46.911945447183435,-53.088054552816565,14.075523769183537,13.958492069186024,0.11703169999751317,0.08218706265237619,6.306237156863774,-1,-832202964,GOOGL,Communication Services
2010-03-22,13.916991233825684,13.951451301574709,14.18543529510498,13.87087059020996,13.916666984558104,160031808,60.51151647940374,37.222072816417025,-62.777927183582975,14.056435697243717,13.957970530844445,0.09846516639927216,0.08544268340175538,4.933274228753387,-1,-992234772,GOOGL,Communication Services
2010-03-23,13.704803466796877,13.738739013671877,13.971721649169922,13.56356430053711,13.939940452575684,219831948,52.2319168852782,15.12529479190013,-84.87470520809988,14.007559284386511,13.941731159202032,0.06582812518447945,0.0815197717583002,2.911135218294079,-1,-1212066720,GOOGL,Communication Services
