Date,AdjClose,Close,High,Low,Open,Volume,RSI,%K,%R,EMA_fast,EMA_slow,MACD,Signal_Line,ROC,Direction,OBV,Ticker,Sector
2010-02-17,34.1268424987793,50.59999847412109,50.7599983215332,50.16999816894531,50.27999877929688,5474300,40.11627068836453,56.428535746885636,-43.571464253114364,49.79194583991951,49.856512917280746,-0.06456707736123946,0.022467188972506512,4.222449576262149,1,-4994300,TGT,Consumer Defensive
2010-02-18,34.22127151489258,50.7400016784668,50.93000030517578,50.130001068115234,50.369998931884766,4882200,41.60690126229787,60.48195694816977,-39.518043051830226,49.9378005843114,49.92195652922045,0.015844055090944664,0.021142562196194144,4.124773558613141,1,-112100,TGT,Consumer Defensive
2010-02-19,34.21452331542969,50.72999954223633,51.08000183105469,50.4900016784668,50.70000076293945,5172500,45.74132036577748,73.96447366787541,-26.035526332124594,50.05967734706908,49.98181156722163,0.0778657798474569,0.0324872057264467,2.154651023181545,-1,-5284600,TGT,Consumer Defensive
2010-02-22,34.1538200378418,50.63999938964844,51.04999923706055,50.560001373291016,50.790000915527344,4000300,46.39999609375238,81.97282221556164,-18.027177784438365,50.14895766131206,50.03056622073473,0.11839144057733364,0.04966805269662409,0.736023331043402,-1,-9284900,TGT,Consumer Defensive
2010-02-23,33.762638092041016,50.060001373291016,50.619998931884766,48.79999923706055,49.900001525878906,15695000,44.20733107901829,64.21053899621342,-35.789461003786585,50.13527207853959,50.03274660240557,0.1025254761340264,0.060239537384104556,-0.019968687026448415,-1,-24979900,TGT,Consumer Defensive
2010-02-24,34.38987350463867,50.9900016784668,51.15999984741211,50.119998931884766,50.20000076293945,9273500,52.682277715190686,94.19801531607303,-5.801984683926976,50.26676894006686,50.10365438581751,0.16311455424935417,0.0808145407571545,1.6141916468013027,1,-15706400,TGT,Consumer Defensive
2010-02-25,34.362911224365234,50.95000076293945,51.130001068115234,50.27000045776367,50.720001220703125,8211800,66.26297771967006,92.10529712334522,-7.894702876654769,50.3718815282011,50.16634671004876,0.2055348181523442,0.10575859623619244,3.2630737847030953,-1,-23918200,TGT,Consumer Defensive
2010-02-26,34.747337341308594,51.52000045776367,51.630001068115234,50.9900016784668,51.0,4189600,68.13725673524397,96.48560470243544,-3.5143952975645667,50.54851520967227,50.26661735802764,0.2818978516446293,0.14098644731787982,4.418322453250823,1,-19728600,TGT,Consumer Defensive
2010-03-01,35.232933044433594,52.2400016784668,52.34000015258789,51.4900016784668,51.77000045776367,4883600,77.37342545741633,97.39587317324188,-2.6041268267581135,50.80874389717911,50.41279397435646,0.39594992282265196,0.19197914241883426,4.271463611822501,1,-14845000,TGT,Consumer Defensive
2010-03-02,34.8484992980957,51.66999816894531,52.369998931884766,51.470001220703125,52.16999816894531,4805300,69.37210027795271,81.91211999641202,-18.087880003587987,50.94124455437391,50.50592021099268,0.4353243433812324,0.24064818261131388,2.98983467160755,-1,-19650300,TGT,Consumer Defensive
2010-03-03,34.85524368286133,51.68000030517578,51.91999816894531,51.459999084472656,51.77000045776367,3993500,71.49602581254427,82.17057320031503,-17.829426799684967,51.05489928526651,50.592889106858095,0.46201017840841274,0.28492058177073365,0.9374990919605033,1,-15656800,TGT,Consumer Defensive
2010-03-04,35.705039978027344,52.93999862670898,53.25,52.150001525878906,52.400001525878906,6891400,75.54050069386162,93.47365529913635,-6.5263447008636355,51.34491456856535,50.7667490712915,0.5781654972738508,0.3435695648713571,4.376966389148436,1,-8765400,TGT,Consumer Defensive
