Open,Close
4745.2001953125,4742.830078125
4725.06982421875,4704.81005859375
4697.419921875,4688.68017578125
4690.56982421875,4697.240234375
4703.7001953125,4763.5400390625
4741.93017578125,4756.5
4759.93994140625,4783.4501953125
4792.1298828125,4780.240234375
4791.18017578125,4783.830078125
4772.35009765625,4765.97998046875
4739.1298828125,4739.2099609375
4760.10009765625,4780.93994140625
4796.27978515625,4839.81005859375
4853.419921875,4850.43017578125
4856.7998046875,4864.60009765625
4888.56005859375,4868.5498046875
4886.66015625,4894.16015625
4888.91015625,4890.97021484375
4892.9501953125,4927.93017578125
4925.89013671875,4924.97021484375
