date,signal,prediction,actual,ticker
2024-01-02,hold,844.8086,813.2399902343749,GWW
2024-01-03,hold,843.8522,808.9500122070312,GWW
2024-01-04,hold,841.6208,815.97998046875,GWW
2024-01-05,hold,839.8464,818.7100219726562,GWW
2024-01-08,hold,839.018,822.22998046875,GWW
2024-01-09,hold,838.3437,823.9899902343751,GWW
2024-01-10,hold,838.0049,830.8300170898439,GWW
2024-01-11,hold,838.5886,837.0700073242189,GWW
2024-01-12,hold,840.0433,842.1199951171873,GWW
2024-01-16,hold,842.54913,840.5499877929686,GWW
2024-01-17,hold,845.1216,839.0800170898435,GWW
2024-01-18,hold,848.1377,872.200012207031,GWW
2024-01-19,hold,853.9227,864.0,GWW
2024-01-22,hold,859.20703,876.6599731445311,GWW
2024-01-23,hold,865.34576,875.6400146484374,GWW
2024-01-24,hold,871.1847,871.2399902343749,GWW
2024-01-25,hold,876.164,881.4500122070312,GWW
2024-01-26,hold,881.07764,883.239990234375,GWW
2024-01-29,hold,885.54144,896.1599731445311,GWW
