date,signal,prediction,actual,ticker
2024-01-02,hold,43.099632,44.7400016784668,CPB
2024-01-03,hold,43.485977,44.529998779296875,CPB
2024-01-04,hold,43.89055,43.470001220703125,CPB
2024-01-05,hold,44.052696,43.61000061035156,CPB
2024-01-08,hold,44.088512,43.93000030517578,CPB
2024-01-09,hold,44.117325,44.79999923706055,CPB
2024-01-10,hold,44.29832,43.720001220703125,CPB
2024-01-11,hold,44.278507,43.459999084472656,CPB
2024-01-12,hold,44.14619,43.41999816894531,CPB
2024-01-16,hold,43.972244,43.540000915527344,CPB
2024-01-17,hold,43.829487,44.11999893188477,CPB
2024-01-18,hold,43.882957,43.709999084472656,CPB
2024-01-19,hold,43.899776,43.150001525878906,CPB
2024-01-22,hold,43.774906,43.16999816894531,CPB
2024-01-23,hold,43.64015,44.25,CPB
2024-01-24,hold,43.737152,44.11999893188477,CPB
2024-01-25,hold,43.90107,44.2400016784668,CPB
2024-01-26,hold,44.064205,44.5,CPB
2024-01-29,hold,44.257812,43.779998779296875,CPB
