date,signal,prediction,actual,ticker
2024-01-02,hold,41.634632,42.09000015258789,FCX
2024-01-03,hold,41.761692,41.369998931884766,FCX
2024-01-04,hold,41.810585,41.54999923706055,FCX
2024-01-05,hold,41.74354,41.40999984741211,FCX
2024-01-08,hold,41.675175,42.20000076293945,FCX
2024-01-09,hold,41.558308,41.70000076293945,FCX
2024-01-10,hold,41.44617,41.29999923706055,FCX
2024-01-11,hold,41.304905,41.029998779296875,FCX
2024-01-12,hold,41.13074,40.939998626708984,FCX
2024-01-16,hold,40.958294,38.900001525878906,FCX
2024-01-17,hold,40.72952,38.2400016784668,FCX
2024-01-18,hold,40.40445,38.209999084472656,FCX
2024-01-19,sell,40.02022,38.77000045776367,FCX
2024-01-22,sell,39.596947,37.47999954223633,FCX
2024-01-23,sell,39.15446,38.16999816894531,FCX
2024-01-24,hold,38.67536,39.720001220703125,FCX
2024-01-25,hold,38.33095,39.439998626708984,FCX
2024-01-26,hold,38.132835,39.59000015258789,FCX
2024-01-29,hold,38.047485,40.22999954223633,FCX
