date,signal,prediction,actual,ticker
2024-01-02,hold,147.5282,148.74000549316406,PG
2024-01-03,hold,147.95384,147.83999633789062,PG
2024-01-04,hold,148.22029,148.64999389648438,PG
2024-01-05,hold,148.56776,147.4199981689453,PG
2024-01-08,hold,148.92389,148.69000244140625,PG
2024-01-09,hold,149.31879,149.3000030517578,PG
2024-01-10,hold,149.689,149.94000244140625,PG
2024-01-11,hold,150.07407,150.50999450683594,PG
2024-01-12,hold,150.5009,150.60000610351562,PG
2024-01-16,hold,150.9455,149.7899932861328,PG
2024-01-17,hold,151.2514,149.94000244140625,PG
2024-01-18,hold,151.41385,148.13999938964844,PG
2024-01-19,hold,151.43831,147.57000732421875,PG
2024-01-22,hold,151.30815,147.86000061035156,PG
2024-01-23,hold,151.21767,153.97999572753906,PG
2024-01-24,hold,151.58199,152.1199951171875,PG
2024-01-25,hold,151.86917,155.6199951171875,PG
2024-01-26,hold,152.48077,156.13999938964844,PG
2024-01-29,hold,153.18246,156.16000366210938,PG
