date,signal,prediction,actual,ticker
2024-01-02,hold,111.13014,112.33999633789062,DFS
2024-01-03,hold,111.287506,110.73999786376953,DFS
2024-01-04,hold,110.89994,110.33000183105469,DFS
2024-01-05,hold,110.40096,111.8499984741211,DFS
2024-01-08,hold,110.305725,112.83999633789062,DFS
2024-01-09,hold,110.604034,111.41999816894531,DFS
2024-01-10,hold,110.53286,111.02999877929688,DFS
2024-01-11,hold,110.37151,111.2300033569336,DFS
2024-01-12,hold,110.28136,109.52999877929688,DFS
2024-01-16,hold,109.763054,109.66000366210938,DFS
2024-01-17,hold,109.338165,108.73999786376953,DFS
2024-01-18,sell,108.7572,97.0,DFS
2024-01-19,sell,105.15888,97.33000183105469,DFS
2024-01-22,sell,102.06019,99.6500015258789,DFS
2024-01-23,hold,100.21017,100.44000244140625,DFS
2024-01-24,hold,99.254364,101.22000122070312,DFS
2024-01-25,hold,99.02732,103.73999786376953,DFS
2024-01-26,buy,99.81598,106.91999816894531,DFS
2024-01-29,buy,101.586464,106.06999969482422,DFS
