date,signal,prediction,actual,ticker
2024-01-02,hold,30.52443,30.239999771118168,FOXA
2024-01-03,hold,30.55016,30.0,FOXA
2024-01-04,hold,30.58264,30.059999465942383,FOXA
2024-01-05,hold,30.605394,30.139999389648438,FOXA
2024-01-08,hold,30.654886,30.549999237060547,FOXA
2024-01-09,hold,30.707867,30.260000228881836,FOXA
2024-01-10,hold,30.761469,30.67000007629395,FOXA
2024-01-11,hold,30.831465,30.899999618530277,FOXA
2024-01-12,hold,30.930202,31.139999389648438,FOXA
2024-01-16,hold,31.047674,30.75,FOXA
2024-01-17,hold,31.147083,30.639999389648438,FOXA
2024-01-18,hold,31.199045,30.870000839233402,FOXA
2024-01-19,hold,31.261395,31.030000686645508,FOXA
2024-01-22,hold,31.326756,31.270000457763672,FOXA
2024-01-23,hold,31.403233,31.52000045776367,FOXA
2024-01-24,hold,31.482988,31.40999984741211,FOXA
2024-01-25,hold,31.57514,32.130001068115234,FOXA
2024-01-26,hold,31.69108,32.220001220703125,FOXA
2024-01-29,hold,31.82102,32.349998474121094,FOXA
